MINUTES,AMT,numOfTransactions,fraudPerGroup
1136,1,10,6
1572,1,5,5
125,1,5,5
1286,1,11,3
140,1,3,3
1280,1,12,2
2534,1,11,2
1403,0,8,2
2390,1,8,2
967,1,7,2
1281,1,7,2
2467,0,4,2
447,99.99,4,2
477,99.99,4,2
681,0.76,4,2
442,99.99,3,2
478,99.99,3,2
2474,0.76,3,2
1525,1,3,2
1564,1,3,2
1403,512.25,2,2
1421,0,2,2
1421,252.92,2,2
1564,44.9,2,2
1564,316.06,2,2
1564,78,2,2
1564,188.52,2,2
1564,30.31,2,2
1564,104.03,2,2
1711,0,2,2
2467,1.59,2,2
852,99.99,2,2
184,1,2,2
193,1,2,2
420,99.99,2,2
448,99.99,2,2
453,99.99,2,2
492,0.68,2,2
2389,1,13,1
704,1,11,1
2536,1,10,1
671,1,9,1
1073,1,9,1
1038,1,8,1
679,1,8,1
742,1,8,1
739,1,7,1
808,1,7,1
921,1,7,1
2538,1,7,1
668,1,7,1
677,1,7,1
697,1,7,1
209,1,6,1
688,9.99,6,1
699,1,6,1
707,1,6,1
767,1,6,1
946,1,6,1
1371,1,6,1
1398,1,6,1
2246,1,6,1
1156,1,5,1
2156,0,5,1
1431,1,5,1
2487,1,5,1
2533,1,5,1
716,1,5,1
757,1,5,1
759,1,5,1
782,1,5,1
952,1,5,1
2211,1,4,1
2502,50,4,1
2679,1,4,1
1834,1,4,1
2143,1,3,1
769,1,3,1
792,0.76,3,1
798,0.76,3,1
799,0.76,3,1
882,0.76,3,1
883,0.76,3,1
884,1.18,3,1
6,0,3,1
234,1,3,1
306,1,3,1
443,99.99,3,1
598,1,3,1
688,0.76,3,1
696,99.99,3,1
2508,1,3,1
2365,0.76,3,1
2413,0,3,1
1426,1,3,1
1511,6.99,2,1
1611,1,2,1
1671,1,2,1
894,0,2,1
948,5,2,1
980,45.64,2,1
2094,0,2,1
2103,25,2,1
2161,2,2,1
2162,1,2,1
2822,0.76,2,1
1076,0,2,1
1180,0.76,2,1
2219,1335,2,1
2248,0,2,1
2330,0.69,2,1
116,59,2,1
136,1,2,1
143,1,2,1
147,1,2,1
222,1,2,1
292,1,2,1
311,1,2,1
329,1,2,1
469,99.99,2,1
686,1.52,2,1
687,0,2,1
2484,0,2,1
2569,0.76,2,1
2577,0.77,2,1
2584,0.77,2,1
2594,0.77,2,1
2621,0.77,2,1
2677,0.77,2,1
2681,0.77,2,1
331,5,149,0
1623,15.95,141,0
1324,1,126,0
2727,1,124,0
1321,1,121,0
1323,1,121,0
1322,1,120,0
1408,1,120,0
1409,1,120,0
1873,1,120,0
1299,1,117,0
1320,1,116,0
1300,1,106,0
1681,15.95,103,0
2760,1,96,0
1885,1,94,0
183,15.95,90,0
1830,1,85,0
1884,1,83,0
1410,1,83,0
1567,36,82,0
1624,15.95,82,0
1851,1,81,0
1883,1,81,0
1852,1,79,0
184,15.95,79,0
1895,1,77,0
48,1,75,0
331,10,75,0
1886,1,71,0
2728,1,66,0
182,15.95,63,0
241,15.95,62,0
126,36,60,0
480,9.99,60,0
2759,1,60,0
46,1,59,0
558,7.95,59,0
1407,1,53,0
851,1,51,0
40,1,50,0
1325,1,48,0
2717,1,48,0
241,39,47,0
1462,1,44,0
1462,5,43,0
183,39,41,0
