total_frauds,hour_num,total_transactions,fraud_rate,rank_by_fraudRate,rank_by_fraudCount
57,2,3328,1.71,1,1
53,11,16856,0.31,3,2
33,18,17039,0.19,3,3
29,17,16166,0.18,3,4
26,15,16461,0.16,3,5
23,4,2209,1.04,2,6
23,7,7243,0.32,3,6
23,14,16570,0.14,3,6
22,16,16453,0.13,3,9
21,23,10938,0.19,3,10
19,19,15649,0.12,3,11
18,20,16756,0.11,3,12
17,3,3492,0.49,3,13
17,12,15420,0.11,3,13
17,13,15365,0.11,3,13
16,9,15838,0.10,3,16
16,21,17703,0.09,3,16
11,5,2990,0.37,3,18
10,1,4220,0.24,3,19
9,6,4101,0.22,3,20
9,8,10276,0.09,3,20
9,22,15441,0.06,3,20
8,10,16598,0.05,3,23
6,0,7695,0.08,3,24
